year,party_canonical,votes,den,share
1994,AFORD,556457,2930241,18.990144496647204
1994,IND,6159,2930241,0.21018748969794634
1994,MCP,988172,2930241,33.72323300370174
1994,MDP,6980,2930241,0.23820566294717738
1994,MNDP,2913,2930241,0.09941161836176614
1994,UDF,1360432,2930241,46.42730751497914
1994,UFMD,9128,2930241,0.31151021366501935
1999,AFORD,474215,4492157,10.556509934982238
1999,CONU,3023,4492157,0.06729506559988888
1999,IND,319936,4492157,7.122101921192871
1999,MCP,1518548,4492157,33.8044284738935
1999,MDP,11384,4492157,0.25341945973838403
1999,MDU,3269,4492157,0.07277127669402471
1999,MM,708,4492157,0.01576080266117146
1999,NPF,1149,4492157,0.025577912793341817
1999,SDP,7297,4492157,0.16243866810532223
1999,SNDP,1372,4492157,0.03054212041119667
1999,UDF,2124999,4492157,47.30464674320154
1999,UP,26257,4492157,0.584507620726524
2004,AFORD,114017,3161587,3.606321761824046
2004,CONU,7410,3161587,0.23437596371695604
2004,IND,766137,3161587,24.232671756304665
2004,MAFUNDE,11655,3161587,0.3686439753199896
2004,MCP,785671,3161587,24.850526017471605
2004,MDP,2494,3161587,0.07888443367207672
2004,MGODE,53127,3161587,1.6803902597018523
2004,NCD,9545,3161587,0.3019053405773746
2004,NDA,256713,3161587,8.11975125150755
2004,NPPM,329,3161587,0.010406166270294002
2004,NSM,216,3161587,0.006832011897822202
2004,NUP,2336,3161587,0.07388694348755863
2004,PETRA,21153,3161587,0.6690627207158936
2004,PFP,363,3161587,0.011481575550506756
2004,PPM,98219,3161587,3.106636002741661
2004,RP,231002,3161587,7.306520427873722
2004,UDF,801200,3161587,25.341703391366426
2009,AFORD,38427,4349318,0.8835178296919195
2009,CODE,19432,4349318,0.4467826909874146
2009,CONU,92,4349318,0.0021152741648230826
2009,DPP,1739202,4349318,39.98792454357212
2009,IND,1266681,4349318,29.12366950404638
2009,MAFUNDE,6831,4349318,0.15705910673811388
2009,MCP,562859,4349318,12.941316316719082
2009,MDP,456,4349318,0.010484402382166583
2009,MPP,17609,4349318,0.4048680735692355
2009,NARC,30847,4349318,0.7092376321988874
2009,NPF,438,4349318,0.01007054439339685
2009,NRP,43009,4349318,0.9888676799443039
2009,NUP,284,4349318,0.006529759378366907
2009,PETRA,8498,4349318,0.19538695492028868
2009,PPF,128,4349318,0.0029429901423625496
2009,PPM,48389,4349318,1.11256523436548
2009,RP,4111,4349318,0.0945205662129097
2009,UDF,562025,4349318,12.922140896572751
2014,AFORD,31907,5143062,0.6203891767200163
2014,CCP,10545,5143062,0.20503349949893662
2014,DDP,4596,5143062,0.08936310703623639
2014,DPP,1118424,5143062,21.746267107026902
2014,IND,1529739,5143062,29.74374020768173
2014,MAFUNDE,2814,5143062,0.05471448720625961
2014,MCP,895528,5143062,17.412350852468823
2014,MPP,733,5143062,0.014252210064743533
2014,NARC,14091,5143062,0.27398075310000153
2014,NASAF,19616,5143062,0.3814070295088801
2014,NCP,16497,5143062,0.3207622229714516
2014,NLP,4473,5143062,0.08697153563383059
2014,PDM,471,5143062,0.009157968540919785
2014,PETRA,2746,5143062,0.05339231765045803
2014,PP,933923,5143062,18.158890559748258
2014,PPM,33817,5143062,0.65752658630209
2014,UDF,495865,5143062,9.641435393934586
2014,UIP,24132,5143062,0.46921464295005577
2014,UP,3145,5143062,0.0611503419558232
2019,AFORD,24212,4967774,0.48738126975985624
2019,DEPECO,10604,4967774,0.2134557650972045
2019,DPP,1293797,4967774,26.04379748354092
2019,FP,15777,4967774,0.3175869111598072
2019,IND,1660569,4967774,33.42682255674272
2019,MCP,1108735,4967774,22.318547502362225
2019,MMD,493,4967774,0.009923961919362677
2019,NASAF,553,4967774,0.011131746331455496
2019,PETRA,5320,4967774,0.1070902178722301
2019,PP,121072,4967774,2.4371479056817
2019,TPM,5076,4967774,0.10217856126305262
2019,UDF,227335,4967774,4.57619448871869
2019,UP,2386,4967774,0.04802956012089117
2019,UTM,491845,4967774,9.90071206942989
