year,party_canonical,votes,den,share
1994,AFORD,562862,2979593,18.89056659751852
1994,MCP,996353,2979593,33.43923146550553
1994,MDP,15624,2979593,0.5243669185690797
1994,UDF,1404754,2979593,47.14583501840688
1999,CONU,24349,4666744,0.5217556394779743
1999,MCP,2109790,4666744,45.20903653596597
1999,MDP,67856,4666744,1.4540330474523566
1999,UDF,2442685,4666744,52.34238261194529
1999,UP,22064,4666744,0.47279216515840594
2009,AFORD,19849,4364517,0.45478113614862764
2009,DPP,2856410,4364517,65.44618797452273
2009,IND,27046,4364517,0.6196791076767486
2009,MCP,1362441,4364517,31.216306409162804
2009,NARC,31421,4364517,0.7199192946206877
2009,PETRA,34424,4364517,0.7887241589390075
2009,RP,32926,4364517,0.7544019189294028
2014,CCP,7377,5187983,0.14219398945601788
2014,DPP,1904101,5187983,36.70214416662506
2014,MAFUNDE,11048,5187983,0.21295366619358622
2014,MCP,1423875,5187983,27.44563735077775
2014,NASAF,13216,5187983,0.2547425463807418
2014,NLP,8670,5187983,0.1671169701211434
2014,PETRA,19104,5187983,0.3682355936786994
2014,PP,1062476,5187983,20.47955824064959
2014,PPM,15626,5187983,0.3011960524928474
2014,UDF,700996,5187983,13.51191783010854
2014,UIP,9571,5187983,0.1844840278003995
2014,UP,11923,5187983,0.22981956571561626
2019,DPP,1940709,5031264,38.572990803106336
2019,IND,15726,5031264,0.3125655898796008
2019,MCP,1781740,5031264,35.41336729696554
2019,MMD,20369,5031264,0.40484856290586224
2019,UDF,235164,5031264,4.6740540746818295
2019,UP,19187,5031264,0.3813554605761097
2019,UTM,1018369,5031264,20.24081821188473
2020,DPP,1751877,4388376,39.92084999097616
2020,MCP,2604043,4388376,59.3395597824799
2020,MMD,32456,4388376,0.7395902265439425
