year,region,dk,district,election_type,candidate,party_canonical,votes,dist_total,runner_votes,win_pct,margin_pct
1994,Central,DEDZA,Dedza,presidential,Dr. H. Kamuzu Banda,MCP,93488,131278,34307,71.21376011212845,45.080668505004645
1994,Central,DOWA,Dowa,presidential,Dr. H. Kamuzu Banda,MCP,95178,118225,17779,80.50581518291393,65.4675407062804
1994,Central,KASUNGU,Kasungu,presidential,Dr. H. Kamuzu Banda,MCP,94249,143785,27186,65.54856208923044,46.641165629238095
1994,Central,LILONGWE,Lilongwe,presidential,Dr. H. Kamuzu Banda,MCP,274739,383407,77509,71.65727281974507,51.44141864911178
1994,Central,MCHINJI,Mchinji,presidential,Dr. H. Kamuzu Banda,MCP,67452,97003,25983,69.53599373215262,42.75022421986949
1994,Central,NKHOTAKOTA,Nkhotakota,presidential,Dr. H. Kamuzu Banda,MCP,33867,72718,27526,46.57306306554085,8.719986798316786
1994,Central,NTCHEU,Ntcheu,presidential,Bakili Muluzi,UDF,69801,96989,23057,71.96795512893215,48.19515615172855
1994,Central,NTCHISI,Ntchisi,presidential,Dr. H. Kamuzu Banda,MCP,28637,43936,13561,65.17889657683904,34.31354697742171
1994,Central,SALIMA,Salima,presidential,Bakili Muluzi,UDF,33366,69906,33072,47.72980860012016,0.42056475838983776
1994,Northern,CHITIPA,Chitipa,presidential,Chakufwa Chihana,AFORD,40098,45433,4351,88.25743402372724,78.68069464926376
1994,Northern,KARONGA,Karonga,presidential,Chakufwa Chihana,AFORD,64121,70040,3647,91.5491147915477,86.34209023415191
1994,Northern,MZIMBA,Mzimba,presidential,Chakufwa Chihana,AFORD,202865,233115,18999,87.02357205671021,78.87351736267507
1994,Northern,NKHATA BAY,Nkhata Bay,presidential,Chakufwa Chihana,AFORD,50053,59110,4993,84.67771950600576,76.23075621722212
1994,Northern,RUMPHI,Rumphi,presidential,Chakufwa Chihana,AFORD,47700,53380,2981,89.35931060322217,83.77482203072312
1994,Southern,BLANTYRE,Blantyre,presidential,Bakili Muluzi,UDF,171088,218155,28682,78.42497306960648,65.27744035204327
1994,Southern,CHIKWAWA,Chikwawa,presidential,Bakili Muluzi,UDF,50981,89822,34615,56.75780989067266,18.220480505889427
1994,Southern,CHIRADZULU,Chiradzulu,presidential,Bakili Muluzi,UDF,60372,67792,6097,89.05475572338919,80.06106915270237
1994,Southern,MACHINGA,Machinga,presidential,Bakili Muluzi,UDF,195082,213980,14835,91.16833348911113,84.23544256472567
1994,Southern,MANGOCHI,Mangochi,presidential,Bakili Muluzi,UDF,184230,207710,15571,88.6957777670791,81.19926821048577
1994,Southern,MULANJE,Mulanje,presidential,Bakili Muluzi,UDF,109975,164861,34347,66.70771134470857,45.87379671359509
1994,Southern,MWANZA,Mwanza,presidential,Bakili Muluzi,UDF,26232,37990,9550,69.0497499341932,43.911555672545404
1994,Southern,NSANJE,Nsanje,presidential,Dr. H. Kamuzu Banda,MCP,29658,56075,23891,52.88987962550156,10.284440481497994
1994,Southern,THYOLO,Thyolo,presidential,Bakili Muluzi,UDF,94459,131307,26095,71.93752046730182,52.064246384427335
1994,Southern,ZOMBA,Zomba,presidential,Bakili Muluzi,UDF,146026,173576,19514,84.12799004470665,72.88565239434023
1999,Central,DEDZA,Dedza,presidential,"Mr. Chakuamba, Gwanda",MCP,144937,220011,69509,65.87716068742017,34.283740358436624
1999,Central,DOWA,Dowa,presidential,"Mr. Chakuamba, Gwanda",MCP,133392,183631,45841,72.64132962299395,47.67767969460494
1999,Central,KASUNGU,Kasungu,presidential,"Mr. Chakuamba, Gwanda",MCP,163396,218552,50025,74.76298546798931,51.87369596251693
1999,Central,LILONGWE,Lilongwe,presidential,"Mr. Chakuamba, Gwanda",MCP,417532,569737,142015,73.28504204571583,48.35862863040315
1999,Central,MCHINJI,Mchinji,presidential,"Mr. Chakuamba, Gwanda",MCP,87453,145051,53938,60.291207919972976,23.1056662828936
1999,Central,NKHOTAKOTA,Nkhotakota,presidential,"Mr. Chakuamba, Gwanda",MCP,55373,112307,54262,49.30502996251347,0.9892526734753845
1999,Central,NTCHEU,Ntcheu,presidential,"Dr. Muluzi, Bakili",UDF,131229,166722,30246,78.71126785907079,60.56969086263361
1999,Central,NTCHISI,Ntchisi,presidential,"Mr. Chakuamba, Gwanda",MCP,41924,76349,32496,54.91100079896266,12.348557283003052
1999,Central,SALIMA,Salima,presidential,"Dr. Muluzi, Bakili",UDF,55597,108849,50106,51.07718031401299,5.044603073983224
1999,Northern,CHITIPA,Chitipa,presidential,"Mr. Chakuamba, Gwanda",MCP,57851,65379,6330,88.48559935147371,78.80359136725859
1999,Northern,KARONGA,Karonga,presidential,"Mr. Chakuamba, Gwanda",MCP,88977,95714,5366,92.9613222726038,87.3550368807071
1999,Northern,MZIMBA,Mzimba,presidential,"Mr. Chakuamba, Gwanda",MCP,286788,321068,27639,89.32313404014103,80.7146772646293
1999,Northern,NKHATA BAY,Nkhata Bay,presidential,"Mr. Chakuamba, Gwanda",MCP,72912,89961,14636,81.04845433020976,64.77918209001679
1999,Northern,RUMPHI,Rumphi,presidential,"Mr. Chakuamba, Gwanda",MCP,67160,75287,7159,89.2053076892425,79.6963619217129
1999,Southern,BALAKA,Balaka,presidential,"Dr. Muluzi, Bakili",UDF,111723,124974,10400,89.39699457487157,81.0752636548402
1999,Southern,BLANTYRE,Blantyre,presidential,"Dr. Muluzi, Bakili",UDF,262974,356330,86662,73.80069037128504,49.47997642634637
1999,Southern,CHIKWAWA,Chikwawa,presidential,"Mr. Chakuamba, Gwanda",MCP,83109,155245,68228,53.534091275081316,9.585493896743856
1999,Southern,CHIRADZULU,Chiradzulu,presidential,"Dr. Muluzi, Bakili",UDF,107161,120281,10697,89.09220907707784,80.19886765158255
1999,Southern,MACHINGA,Machinga,presidential,"Dr. Muluzi, Bakili",UDF,175735,185776,6193,94.59510378089743,91.26151924898804
1999,Southern,MANGOCHI,Mangochi,presidential,"Dr. Muluzi, Bakili",UDF,275940,306936,24160,89.90147783251231,82.03013005968671
1999,Southern,MULANJE,Mulanje,presidential,"Dr. Muluzi, Bakili",UDF,165050,212826,38615,77.55161493426554,59.40768515125032
1999,Southern,MWANZA,Mwanza,presidential,"Dr. Muluzi, Bakili",UDF,50901,66316,13256,76.75523252307136,56.76608963146149
1999,Southern,NSANJE,Nsanje,presidential,"Mr. Chakuamba, Gwanda",MCP,60315,92439,30575,65.2484341024892,32.1725678555588
1999,Southern,PHALOMBE,Phalombe,presidential,"Dr. Muluzi, Bakili",UDF,97693,116786,14750,83.65129381946467,71.02135529943658
1999,Southern,THYOLO,Thyolo,presidential,"Dr. Muluzi, Bakili",UDF,174327,221161,37565,78.82357196793286,61.83820836404248
1999,Southern,ZOMBA,Zomba,presidential,"Dr. Muluzi, Bakili",UDF,226336,259056,26021,87.36952628003212,77.32497992712001
2009,Central,DEDZA,Dedza,presidential,John Z.U. Tembo,MCP,128120,194043,57248,66.02660235102529,36.52386326742011
2009,Central,DOWA,Dowa,presidential,Bingu wa Mutharika,DPP,106221,192606,78953,55.149372293698015,14.157399042605112
2009,Central,KASUNGU,Kasungu,presidential,Bingu wa Mutharika,DPP,146235,217527,63611,67.22613744500683,37.983330804911574
2009,Central,LILONGWE,Lilongwe,presidential,John Z.U. Tembo,MCP,312010,584952,255616,53.3394193027804,9.64079103926476
2009,Central,MCHINJI,Mchinji,presidential,Bingu wa Mutharika,DPP,84090,152553,61926,55.121826512752946,14.528721165758785
2009,Central,NKHOTAKOTA,Nkhotakota,presidential,Bingu wa Mutharika,DPP,58115,104961,43249,55.36818437324339,14.163355913148692
2009,Central,NTCHEU,Ntcheu,presidential,Bingu wa Mutharika,DPP,123467,150927,23093,81.80577365216296,66.50499910552784
2009,Central,NTCHISI,Ntchisi,presidential,Bingu wa Mutharika,DPP,61051,79639,16211,76.65967679152175,56.30407212546616
2009,Central,SALIMA,Salima,presidential,John Z.U. Tembo,MCP,53349,103913,45120,51.34006332220223,7.919124652353411
2009,Northern,CHITIPA,Chitipa,presidential,Bingu wa Mutharika,DPP,70757,72721,735,97.29926706178408,96.28855488785908
2009,Northern,KARONGA,Karonga,presidential,Bingu wa Mutharika,DPP,98268,103406,2956,95.03123609848558,92.17260120302497
2009,Northern,LIKOMA,Likoma,presidential,Bingu wa Mutharika,DPP,3491,4313,731,80.94134013447716,63.99258057036865
2009,Northern,MZIMBA,Mzimba,presidential,Bingu wa Mutharika,DPP,331000,348707,11073,94.92209792175092,91.74665263387314
2009,Northern,NKHATA BAY,Nkhata Bay,presidential,Bingu wa Mutharika,DPP,60421,64518,2791,93.64983415480951,89.32390960662141
2009,Northern,RUMPHI,Rumphi,presidential,Bingu wa Mutharika,DPP,71036,76204,2302,93.21820376883103,90.19736496771823
2009,Southern,BALAKA,Balaka,presidential,Bingu wa Mutharika,DPP,59387,110577,48078,53.70646698680558,10.227262450600035
2009,Southern,BLANTYRE,Blantyre,presidential,Bingu wa Mutharika,DPP,254822,343045,82440,74.28238277776968,50.25055021935898
2009,Southern,CHIKWAWA,Chikwawa,presidential,Bingu wa Mutharika,DPP,94842,114852,13913,82.57757810051196,70.46372723156759
2009,Southern,CHIRADZULU,Chiradzulu,presidential,Bingu wa Mutharika,DPP,77018,99825,19821,77.15301778111694,57.29727022289006
2009,Southern,MACHINGA,Machinga,presidential,John Z.U. Tembo,MCP,102714,171788,62211,59.791137914173284,23.577316226977437
2009,Southern,MANGOCHI,Mangochi,presidential,John Z.U. Tembo,MCP,181689,269063,71279,67.52656441056556,41.03499923809665
2009,Southern,MULANJE,Mulanje,presidential,Bingu wa Mutharika,DPP,152884,181638,22936,84.1696120855768,71.54229841773197
2009,Southern,MWANZA,Mwanza,presidential,Bingu wa Mutharika,DPP,25551,28582,2233,89.3954236932335,81.58281435868729
2009,Southern,NENO,Neno,presidential,Bingu wa Mutharika,DPP,27888,31461,2796,88.64308191093735,79.75588824258605
2009,Southern,NSANJE,Nsanje,presidential,Bingu wa Mutharika,DPP,57980,72316,8989,80.17589468444051,67.74572708667515
2009,Southern,PHALOMBE,Phalombe,presidential,Bingu wa Mutharika,DPP,85031,98513,9089,86.31449656390528,77.08830306660035
2009,Southern,THYOLO,Thyolo,presidential,Bingu wa Mutharika,DPP,151144,165360,9577,91.40299951620706,85.61139332365747
2009,Southern,ZOMBA,Zomba,presidential,Bingu wa Mutharika,DPP,164237,226507,57056,72.50857589390174,47.31906740189045
2014,Central,DEDZA,Dedza,presidential,Dr. Lazarus McCarthy CHAKWERA,MCP,139497,212717,28113,65.57867965418843,52.36252861783497
2014,Central,DOWA,Dowa,presidential,Dr. Lazarus McCarthy CHAKWERA,MCP,177087,223433,21838,79.25731651098987,69.48346931742402
2014,Central,KASUNGU,Kasungu,presidential,Dr. Lazarus McCarthy CHAKWERA,MCP,164646,274427,55614,59.99628316455742,39.730784507355324
2014,Central,LILONGWE,Lilongwe,presidential,Dr. Lazarus McCarthy CHAKWERA,MCP,486047,737669,135615,65.8895792015118,47.505317425566204
2014,Central,MCHINJI,Mchinji,presidential,Dr. Lazarus McCarthy CHAKWERA,MCP,121478,174084,22372,69.78125502630914,56.929987821971004
2014,Central,NKHOTAKOTA,Nkhotakota,presidential,Dr. Joyce Hilda BANDA,PP,35756,79664,31119,44.88351074512955,5.820696927093794
