year,party_canonical,grp,votes,den,share
1994,AFORD,Central,86766,1157247,7.497621510360364
1994,AFORD,Northern,404837,461078,87.80228074208702
1994,AFORD,Southern,71259,1361268,5.234751716781706
1994,MCP,Central,743739,1157247,64.26795662464451
1994,MCP,Northern,33650,461078,7.298114418818508
1994,MCP,Southern,218964,1361268,16.085296943731873
1994,MDP,Central,5161,1157247,0.4459722081802761
1994,MDP,Northern,1754,461078,0.38041285856189194
1994,MDP,Southern,8709,1361268,0.6397711545412071
1994,UDF,Central,321581,1157247,27.78844965681484
1994,UDF,Northern,20837,461078,4.519191980532578
1994,UDF,Southern,1062336,1361268,78.04018018494521
1999,CONU,Central,8006,1801209,0.44447923589100435
1999,CONU,Northern,5806,647409,0.8968055742196973
1999,CONU,Southern,10537,2218126,0.4750406424161658
1999,MCP,Central,1124359,1801209,62.422461802045184
1999,MCP,Northern,573688,647409,88.61291702772127
1999,MCP,Southern,411743,2218126,18.562651535575526
1999,MDP,Central,27240,1801209,1.5123175600388405
1999,MDP,Northern,5673,647409,0.8762621464947197
1999,MDP,Southern,34943,2218126,1.5753388220506859
1999,UDF,Central,634912,1801209,35.24921316737814
1999,UDF,Northern,61130,647409,9.44225366035999
1999,UDF,Southern,1746643,2218126,78.74408396998187
1999,UP,Central,6692,1801209,0.37152823464684
1999,UP,Northern,1112,647409,0.1717615912043237
1999,UP,Southern,14260,2218126,0.6428850299757544
2009,AFORD,Central,6404,1781121,0.3595488459234381
2009,AFORD,Northern,3910,669869,0.583696215230142
2009,AFORD,Southern,9535,1913527,0.4982945106078984
2009,DPP,Central,937163,1781121,52.616470189279674
2009,DPP,Northern,634973,669869,94.7906232412606
2009,DPP,Southern,1284274,1913527,67.11554109244344
2009,IND,Central,12803,1781121,0.7188169697623014
2009,IND,Northern,1951,669869,0.2912509759370862
2009,IND,Southern,12292,1913527,0.642374003606952
2009,MCP,Central,780522,1781121,43.82195257930259
2009,MCP,Northern,20588,669869,3.073436746587766
2009,MCP,Southern,561331,1913527,29.334887879815653
2009,NARC,Central,13697,1781121,0.7690100784842804
2009,NARC,Northern,3931,669869,0.5868311565395622
2009,NARC,Southern,13793,1913527,0.7208155411447029
2009,PETRA,Central,14912,1781121,0.8372255450359634
2009,PETRA,Northern,2435,669869,0.363503908973247
2009,PETRA,Southern,17077,1913527,0.8924358004877904
2009,RP,Central,15620,1781121,0.8769757922117588
2009,RP,Northern,2081,669869,0.31065775547159225
2009,RP,Southern,15225,1913527,0.7956511718935766
2014,CCP,Central,1576,2105725,0.07484358118937659
2014,CCP,Northern,674,792836,0.08501127597636839
2014,CCP,Southern,5127,2289422,0.22394298648305117
2014,DPP,Central,432550,2105725,20.54161868240155
2014,DPP,Northern,173119,792836,21.835411106458334
2014,DPP,Southern,1298432,2289422,56.71440215041176
2014,MAFUNDE,Central,3353,2105725,0.15923256835531704
2014,MAFUNDE,Northern,1167,792836,0.1471931143389049
2014,MAFUNDE,Southern,6528,2289422,0.28513747137923895
2014,MCP,Central,1220125,2105725,57.94322620475133
2014,MCP,Northern,136737,792836,17.24656801658855
2014,MCP,Southern,67013,2289422,2.927070675480536
2014,NASAF,Central,6255,2105725,0.29704733524083154
2014,NASAF,Northern,3963,792836,0.49985116720229655
2014,NASAF,Southern,2998,2289422,0.1309500825972669
2014,NLP,Central,2597,2105725,0.12333044438376331
2014,NLP,Northern,1041,792836,0.13130079865192804
2014,NLP,Southern,5032,2289422,0.21979346752149667
2014,PETRA,Central,7973,2105725,0.3786344370703677
2014,PETRA,Northern,3459,792836,0.4362819044543891
2014,PETRA,Southern,7672,2289422,0.3351064155057477
2014,PP,Central,281751,2105725,13.380237210461953
2014,PP,Northern,446151,792836,56.27279790524143
2014,PP,Southern,334574,2289422,14.613906916243488
2014,PPM,Central,3533,2105725,0.16778069311044888
2014,PPM,Northern,1521,792836,0.19184295364993517
2014,PPM,Southern,10572,2289422,0.46177594170056896
2014,UDF,Central,138769,2105725,6.590081800804947
2014,UDF,Northern,21264,792836,2.682017466411717
2014,UDF,Southern,540963,2289422,23.62880237894106
2014,UIP,Central,2933,2105725,0.1392869439266761
2014,UIP,Northern,1469,792836,0.18528422019181773
2014,UIP,Southern,5169,2289422,0.2257775106555279
2014,UP,Central,4310,2105725,0.20468009830343467
2014,UP,Northern,2271,792836,0.2864400708343213
2014,UP,Southern,5342,2289422,0.23333400308025343
2019,DPP,Central,281753,2090410,13.478360704359432
2019,DPP,Northern,138550,723186,19.158280165821793
2019,DPP,Southern,1520406,2217668,68.55877435215731
2019,IND,Central,4578,2090410,0.21900010045876167
2019,IND,Northern,2581,723186,0.35689297082631577
2019,IND,Southern,8567,2217668,0.3863066969447185
2019,MCP,Central,1389902,2090410,66.48944465439794
2019,MCP,Northern,227446,723186,31.45055352288346
2019,MCP,Southern,164392,2217668,7.412831857608984
2019,MMD,Central,4991,2090410,0.23875699025550012
2019,MMD,Northern,3560,723186,0.4922661666569873
2019,MMD,Southern,11818,2217668,0.5329021296244524
2019,UDF,Central,37517,2090410,1.7947196961361644
2019,UDF,Northern,6922,723186,0.9571534847190073
2019,UDF,Southern,190725,2217668,8.600250353073589
2019,UP,Central,6400,2090410,0.30616003559110416
2019,UP,Northern,4536,723186,0.6272245314483411
2019,UP,Southern,8251,2217668,0.37205749462949367
2019,UTM,Central,365269,2090410,17.473557818801098
2019,UTM,Northern,339591,723186,46.95762915764409
2019,UTM,Southern,313509,2217668,14.136877115961452
2020,DPP,Central,199464,1921899,10.378485029650362
2020,DPP,Northern,70057,593335,11.807326383914651
2020,DPP,Southern,1482356,1873142,79.13740656074125
2020,MCP,Central,1711887,1921899,89.07268279966846
2020,MCP,Northern,516515,593335,87.05284535717597
2020,MCP,Southern,375641,1873142,20.05405890210139
2020,MMD,Central,10548,1921899,0.5488321706811856
2020,MMD,Northern,6763,593335,1.139828258909385
2020,MMD,Southern,15145,1873142,0.8085345371573538
