year,election_type,dk,total,reg,turnout
1994,parliamentary,BLANTYRE,196707,267599.0,73.50812222766154
1994,parliamentary,CHIKWAWA,90862,121318.0,74.89572858108443
1994,parliamentary,CHIRADZULU,83378,98812.0,84.38043962271789
1994,parliamentary,CHITIPA,47673,53462.0,89.17174815756987
1994,parliamentary,DEDZA,130159,182812.0,71.19828020042448
1994,parliamentary,DOWA,122829,148090.0,82.94212978594098
1994,parliamentary,KARONGA,72495,84501.0,85.79188411971455
1994,parliamentary,KASUNGU,145257,180462.0,80.49173787279317
1994,parliamentary,LILONGWE,378913,457595.0,82.80531911406375
1994,parliamentary,MACHINGA,211687,258690.0,81.83037612586493
1994,parliamentary,MCHINJI,99522,124806.0,79.7413585885294
1994,parliamentary,MULANJE,202023,257006.0,78.60633603884735
1994,parliamentary,MWANZA,39140,49192.0,79.56578305415515
1994,parliamentary,MZIMBA,226518,272908.0,83.0015976079851
1994,parliamentary,NKHATA BAY,58038,72051.0,80.55127617937295
1994,parliamentary,NKHOTAKOTA,74829,87841.0,85.18687173415603
1994,parliamentary,NSANJE,47874,71305.0,67.13975177056307
1994,parliamentary,NTCHEU,300709,386080.0,77.88774347285536
1994,parliamentary,NTCHISI,45617,56893.0,80.18033853022341
1994,parliamentary,RUMPHI,54043,62273.0,86.78399948613364
1994,parliamentary,SALIMA,73068,92970.0,78.59309454662794
1994,parliamentary,THYOLO,131466,174357.0,75.4004714465149
1994,parliamentary,ZOMBA,172319,214253.0,80.4278119792955
1994,presidential,BLANTYRE,221367,267599.0,82.72340330120815
1994,presidential,CHIKWAWA,92019,121318.0,75.84942053116602
1994,presidential,CHIRADZULU,69129,98812.0,69.96012630044935
1994,presidential,CHITIPA,45961,53462.0,85.96947364483184
1994,presidential,DEDZA,136010,182812.0,74.39883596262827
1994,presidential,DOWA,121262,148090.0,81.88398946586534
1994,presidential,KARONGA,71510,84501.0,84.62621744121371
1994,presidential,KASUNGU,146732,180462.0,81.30908446099457
1994,presidential,LILONGWE,391566,457595.0,85.57042799855768
1994,presidential,MACHINGA,218164,258690.0,84.33414511577564
1994,presidential,MANGOCHI,211549,256162.0,82.58406789453548
1994,presidential,MCHINJI,99245,124806.0,79.5194141307309
1994,presidential,MULANJE,170594,257006.0,66.37743865901965
1994,presidential,MWANZA,39245,49192.0,79.77923239551147
1994,presidential,MZIMBA,235948,272908.0,86.45697451155701
1994,presidential,NKHATA BAY,60042,72051.0,83.33263938043885
1994,presidential,NKHOTAKOTA,74455,87841.0,84.76110244646577
1994,presidential,NSANJE,58043,71305.0,81.40102377112404
1994,presidential,NTCHEU,99474,129918.0,76.566757493188
1994,presidential,NTCHISI,45502,56893.0,79.97820470005097
1994,presidential,RUMPHI,53958,62273.0,86.6475037335603
1994,presidential,SALIMA,71978,92950.0,77.43733189887037
1994,presidential,THYOLO,134748,174357.0,77.28281629071388
1994,presidential,ZOMBA,176711,214253.0,82.47772493267306
1999,parliamentary,BALAKA,315837,337313.0,93.63321306916721
1999,parliamentary,BLANTYRE,381450,405434.0,94.08436391619844
1999,parliamentary,CHIKWAWA,165494,174316.0,94.93907616053605
1999,parliamentary,CHIRADZULU,123131,128439.0,95.86729887339516
1999,parliamentary,CHITIPA,66444,70801.0,93.84613211677801
1999,parliamentary,DEDZA,225492,238353.0,94.60422146983676
1999,parliamentary,DOWA,180070,201082.0,89.55053162391462
1999,parliamentary,KARONGA,94887,100279.0,94.6230018249085
1999,parliamentary,KASUNGU,221752,236987.0,93.57137733293386
1999,parliamentary,LILONGWE,560215,634120.0,88.34526588027502
1999,parliamentary,MANGOCHI,301050,323713.0,92.99904545075421
1999,parliamentary,MCHINJI,118874,128313.0,92.64376953231552
1999,parliamentary,MULANJE,222424,232107.0,95.8282171584657
1999,parliamentary,MWANZA,67454,72093.0,93.56525598879225
1999,parliamentary,MZIMBA,302499,332262.0,91.0423099842895
1999,parliamentary,NKHATA BAY,90738,95399.0,95.1142045514104
1999,parliamentary,NKHOTAKOTA,114391,120162.0,95.19731695544348
1999,parliamentary,NSANJE,94709,99538.0,95.14858646948903
1999,parliamentary,NTCHEU,167852,181841.0,92.30701546955858
1999,parliamentary,NTCHISI,78016,82528.0,94.53276463745638
1999,parliamentary,PHALOMBE,117147,125223.0,93.5507055413143
1999,parliamentary,RUMPHI,74974,80165.0,93.52460550115387
1999,parliamentary,SALIMA,111114,120235.0,92.41402253919408
1999,parliamentary,THYOLO,220904,235178.0,93.93055472875864
1999,parliamentary,ZOMBA,267032,284359.0,93.9066461761365
1999,presidential,BALAKA,127787,136913.0,93.33445326594261
1999,presidential,BLANTYRE,362244,405434.0,89.34721804288738
1999,presidential,CHIKWAWA,159113,174316.0,91.27848275545561
1999,presidential,CHIRADZULU,122774,128439.0,95.58934591518153
1999,presidential,CHITIPA,65668,70801.0,92.75010239968363
1999,presidential,DEDZA,225221,238353.0,94.49052455811339
1999,presidential,DOWA,189664,201082.0,94.32171949751843
1999,presidential,KARONGA,97075,100279.0,96.80491428913331
1999,presidential,KASUNGU,221821,236987.0,93.60049285403841
1999,presidential,LILONGWE,579867,634120.0,91.44436384280577
1999,presidential,MACHINGA,189889,200400.0,94.75499001996009
1999,presidential,MANGOCHI,306936,323713.0,94.81732275194386
1999,presidential,MCHINJI,147831,159895.0,92.45504862566058
1999,presidential,MULANJE,218217,232107.0,94.01569103904664
1999,presidential,MWANZA,67910,72093.0,94.19777232186203
1999,presidential,MZIMBA,323075,332262.0,97.23501333285178
1999,presidential,NKHATA BAY,90991,95399.0,95.37940649273054
1999,presidential,NKHOTAKOTA,113956,120162.0,94.83530567067791
1999,presidential,NSANJE,94751,99538.0,95.19078141011474
1999,presidential,NTCHEU,166722,181841.0,91.68559345802102
1999,presidential,NTCHISI,77995,82528.0,94.50731872818922
1999,presidential,PHALOMBE,117455,125223.0,93.79666674652421
1999,presidential,RUMPHI,75696,80165.0,94.42524792615231
1999,presidential,SALIMA,112422,120235.0,93.50189212791616
1999,presidential,THYOLO,228305,235178.0,97.07753276241824
1999,presidential,ZOMBA,263380,284359.0,92.62235413684814
2004,parliamentary,BALAKA,80589,146626.0,54.96228499720377
2004,parliamentary,BLANTYRE,196776,387958.0,50.7209543301079
2004,parliamentary,CHIKWAWA,118421,195146.0,60.68328328533509
2004,parliamentary,CHIRADZULU,85413,146418.0,58.335040773675374
2004,parliamentary,CHITIPA,52960,87242.0,60.70470644872882
2004,parliamentary,DEDZA,163435,270477.0,60.42473112316389
2004,parliamentary,DOWA,148297,241061.0,61.51845383533628
2004,parliamentary,KARONGA,83417,128144.0,65.0962979148458
