year,district,constituency,enp
1994,Blantyre,Blantyre City South-East,1.4588175558487715
1994,Blantyre,Blantyre City-Central,1.6433212998751427
1994,Blantyre,Blantyre City-East,1.581624572714732
1994,Blantyre,Blantyre City-South,1.8660230420200905
1994,Blantyre,Blantyre City-West,1.5706352433546167
1994,Blantyre,Blantyre North,1.4073064300718774
1994,Blantyre,Blantyre North-East,1.5786287752992505
1994,Blantyre,Blantyre Rural-East,1.7171552811804267
1994,Blantyre,Blantyre South-West,1.9084010741138182
1994,Blantyre,Blantyre West,2.0067876216958043
1994,Chikwawa,Chikwawa Central,2.086589620584824
1994,Chikwawa,Chikwawa East,2.08793883644171
1994,Chikwawa,Chikwawa Nkombezi,1.9705349537109473
1994,Chikwawa,Chikwawa North,1.9095802677461011
1994,Chikwawa,Chikwawa South,2.2162766229038686
1994,Chikwawa,Chikwawa West,2.2656830504078136
1994,Chiradzulu,Chiradzulu Central,1.2173131151499
1994,Chiradzulu,Chiradzulu East,1.3648665115589405
1994,Chiradzulu,Chiradzulu North,1.3457490632539055
1994,Chiradzulu,Chiradzulu South,1.400806306505836
1994,Chiradzulu,Chiradzulu West,1.2847667586151645
1994,Chitipa,Chitipa Central,1.3129915103488448
1994,Chitipa,Chitipa East,1.2632224710512876
1994,Chitipa,Chitipa North,1.5467953718411063
1994,Chitipa,Chitipa South,1.1827797639324666
1994,Chitipa,Chitipa Wenya,1.1565996105520342
1994,Dedza,Dedza Central,1.385627923024199
1994,Dedza,Dedza Central-East,1.4828390639075328
1994,Dedza,Dedza East,2.0259709846360723
1994,Dedza,Dedza North,1.9393507566035557
1994,Dedza,Dedza North-West,1.170205499280053
1994,Dedza,Dedza South,2.0655587073986386
1994,Dedza,Dedza South-West,1.4158316566312867
1994,Dedza,Dedza West,1.3408632871210449
1994,Dowa,Dowa Central,1.4853668521796959
1994,Dowa,Dowa East,1.5730582145979408
1994,Dowa,Dowa Ngala,1.4907369764803409
1994,Dowa,Dowa North,1.371075185890266
1994,Dowa,Dowa North-East,1.7411095375765362
1994,Dowa,Dowa South-East,1.7128989584529632
1994,Dowa,Dowa West,1.4876971507086003
1994,Karonga,Karonga Central,1.3690836149434298
1994,Karonga,Karonga North,1.2295767393863506
1994,Karonga,Karonga North-West,1.3056391358334212
1994,Karonga,Karonga Nyungwe,1.2714785124076158
1994,Karonga,Karonga South,1.339160484424939
1994,Kasungu,Kasungu Central,2.3160033857162485
1994,Kasungu,Kasungu East,1.7727805024418473
1994,Kasungu,Kasungu North,1.797878141651568
1994,Kasungu,Kasungu North-East,1.3802719138535402
1994,Kasungu,Kasungu North-North-East,2.2815160985793197
1994,Kasungu,Kasungu North-West,2.196260439424223
1994,Kasungu,Kasungu South,1.3377670424035386
