year,region,district,constituency,winner_party,margin,n_cand,tier
1994,Central,Dedza,Dedza Central,MCP,0.7075360264587762,3,safe
1994,Central,Dedza,Dedza Central-East,MCP,0.6234009053335958,3,safe
1994,Central,Dedza,Dedza East,UDF,0.2617953811770549,3,safe
1994,Central,Dedza,Dedza North,MCP,0.17684163099797257,2,lean
1994,Central,Dedza,Dedza North-West,MCP,0.8645868276864587,3,safe
1994,Central,Dedza,Dedza South,MCP,0.24109093965372336,3,safe
1994,Central,Dedza,Dedza South-West,MCP,0.6821955444066177,3,safe
1994,Central,Dedza,Dedza West,MCP,0.7498481678925704,3,safe
1994,Central,Dowa,Dowa Central,MCP,0.6828852808091562,4,safe
1994,Central,Dowa,Dowa East,MCP,0.5931594357199894,3,safe
1994,Central,Dowa,Dowa Ngala,MCP,0.6614535418583257,3,safe
1994,Central,Dowa,Dowa North,MCP,0.7155963302752293,3,safe
1994,Central,Dowa,Dowa North-East,MCP,0.5740711336932359,4,safe
1994,Central,Dowa,Dowa South-East,MCP,0.5524253336157594,3,safe
1994,Central,Dowa,Dowa West,MCP,0.6751387383837388,4,safe
1994,Central,Kasungu,Kasungu Central,MCP,0.3767165402746464,4,safe
1994,Central,Kasungu,Kasungu East,MCP,0.4816678333916696,3,safe
1994,Central,Kasungu,Kasungu North,AFORD,0.44969117354054594,3,safe
1994,Central,Kasungu,Kasungu North-East,MCP,0.6969102501226091,4,safe
1994,Central,Kasungu,Kasungu North-North-East,AFORD,0.04637900233612752,3,tossup
1994,Central,Kasungu,Kasungu North-West,MCP,0.10458049214349247,3,lean
1994,Central,Kasungu,Kasungu South,MCP,0.703582694907616,3,safe
1994,Central,Kasungu,Kasungu South-East,MCP,0.4906107926467681,4,safe
1994,Central,Kasungu,Kasungu West,MCP,0.5999388285670592,5,safe
1994,Central,Lilongwe,Lilongwe Central,MCP,0.668392249667209,3,safe
1994,Central,Lilongwe,Lilongwe City Central,UDF,0.2695088116916103,3,safe
