year,region,district,constituency,winner_party,margin,n_cand,tier
2019,Central,Dedza,Dedza Central,MCP,0.6154686078252958,7,safe
2019,Central,Dedza,Dedza Central East,MCP,0.7350119904076738,7,safe
2019,Central,Dedza,Dedza East,MCP,0.217981105305049,7,safe
2019,Central,Dedza,Dedza North,MCP,0.46051379638439577,7,safe
2019,Central,Dedza,Dedza North West,MCP,0.7530927027873473,7,safe
2019,Central,Dedza,Dedza South,MCP,0.5615633761964614,7,safe
2019,Central,Dedza,Dedza South West,MCP,0.685450425413656,7,safe
2019,Central,Dedza,Dedza West,MCP,0.645211122554068,7,safe
2019,Central,Dowa,Dowa Central,MCP,0.7479292994452328,7,safe
2019,Central,Dowa,Dowa East,MCP,0.8119574758607238,7,safe
2019,Central,Dowa,Dowa Ngala,MCP,0.7717193747728098,7,safe
2019,Central,Dowa,Dowa North,MCP,0.8399732322105733,7,safe
2019,Central,Dowa,Dowa North East,MCP,0.7247895873095335,7,safe
2019,Central,Dowa,Dowa South East,MCP,0.7630333147108119,7,safe
2019,Central,Dowa,Dowa West,MCP,0.9091441345539706,7,safe
2019,Central,Kasungu,Kasungu Central,MCP,0.49335850429877637,7,safe
2019,Central,Kasungu,Kasungu East,MCP,0.6212963547918378,7,safe
2019,Central,Kasungu,Kasungu North,MCP,0.2541242743001667,7,safe
2019,Central,Kasungu,Kasungu North East,MCP,0.5632599661382176,7,safe
2019,Central,Kasungu,Kasungu North North East,MCP,0.410112815518221,7,safe
2019,Central,Kasungu,Kasungu North West,MCP,0.5573934122344217,7,safe
2019,Central,Kasungu,Kasungu South,MCP,0.8032377335864894,7,safe
2019,Central,Kasungu,Kasungu South East,MCP,0.6869762641898866,7,safe
2019,Central,Kasungu,Kasungu West,MCP,0.6771561771561772,7,safe
2019,Central,Lilongwe,Lilongwe Central,MCP,0.5663539484470352,7,safe
2019,Central,Lilongwe,Lilongwe City Centre,MCP,0.09023071651564757,7,tossup
2019,Central,Lilongwe,Lilongwe City North,MCP,0.8006654375145696,7,safe
2019,Central,Lilongwe,Lilongwe City South East,MCP,0.04744675205634752,7,tossup
2019,Central,Lilongwe,Lilongwe City South West,MCP,0.06410620940049433,7,tossup
2019,Central,Lilongwe,Lilongwe City West,MCP,0.061298483434122086,7,tossup
2019,Central,Lilongwe,Lilongwe East,MCP,0.8043848043848044,7,safe
2019,Central,Lilongwe,Lilongwe Kumachenga,MCP,0.6351156069364162,7,safe
2019,Central,Lilongwe,Lilongwe Mpenu,MCP,0.7593872379636029,7,safe
2019,Central,Lilongwe,Lilongwe Mpenu Nkhoma,MCP,0.8397244671041927,7,safe
2019,Central,Lilongwe,Lilongwe Msinja North,MCP,0.6162444914191537,7,safe
2019,Central,Lilongwe,Lilongwe Msinja South,MCP,0.8098588471791286,7,safe
2019,Central,Lilongwe,Lilongwe Msozi North,MCP,0.7614964925954794,7,safe
2019,Central,Lilongwe,Lilongwe Msozi South,MCP,0.780470515262948,7,safe
2019,Central,Lilongwe,Lilongwe North,MCP,0.9308203041336475,7,safe
2019,Central,Lilongwe,Lilongwe North East,MCP,0.7874259598905559,7,safe
2019,Central,Lilongwe,Lilongwe North West,MCP,0.9209278396635798,7,safe
2019,Central,Lilongwe,Lilongwe South,MCP,0.8551984877126654,7,safe
