year,party_canonical,H,total_votes,top_region
1994,AFORD,0.5571072804676365,562862,0.7192473465965015
1994,MCP,0.6066420342059986,996353,0.7464613445234771
1994,UDF,0.6245300702312719,1404754,0.7562434419122495
1999,CONU,0.3522402923653562,24349,0.432748778183909
1999,MCP,0.3960343048021839,2109790,0.5329246038705274
1999,MDP,0.43332418108828163,67856,0.5149581466635228
1999,UDF,0.5794838175053357,2442685,0.7150504465373144
1999,UP,0.5122364710268659,22064,0.646301667875272
2009,DPP,0.359210302282632,2856410,0.44961122527928415
2009,IND,0.43584760807681555,27046,0.47337868816091105
2009,MCP,0.4981727689086275,1362441,0.5728849909830958
2009,NARC,0.39837505202846657,31421,0.43897393462970624
2009,PETRA,0.4387474525822771,34424,0.4960783174529398
2009,RP,0.44286142893455605,32926,0.4743971329648302
2014,DPP,0.5248772685363382,1904101,0.6819134069043606
2014,MCP,0.745722520894085,1423875,0.8569045737863226
2014,PP,0.345814135230191,1062476,0.41991630869779645
2014,UDF,0.6356387656476635,700996,0.7717062579529698
2019,DPP,0.6399337156460397,1940709,0.7834281182804841
2019,MCP,0.6333351009182934,1781740,0.7800812688720016
2019,MMD,0.4272124489481598,20369,0.5801953949629338
2019,UDF,0.6840872278002911,235164,0.8110297494514467
2019,UTM,0.3346250195276303,1018369,0.3586803997372269
2020,DPP,0.7305375806911065,1751877,0.8461530118838252
2020,MCP,0.49232138927578883,2604043,0.6573958264130046
2020,MMD,0.366786079137025,32456,0.46663174759674636
