year,district,constituency,wasted_share
1994,Blantyre,Blantyre City South-East,0.18160480349344976
1994,Blantyre,Blantyre City-Central,0.23749131976170457
1994,Blantyre,Blantyre City-East,0.221040750861352
1994,Blantyre,Blantyre City-South,0.3004037241492955
1994,Blantyre,Blantyre City-West,0.21571560681064028
1994,Blantyre,Blantyre North,0.16497838171710932
1994,Blantyre,Blantyre North-East,0.22067142154451547
1994,Blantyre,Blantyre Rural-East,0.2814010853478046
1994,Blantyre,Blantyre South-West,0.3291435875585854
1994,Blantyre,Blantyre West,0.34683924216844875
1994,Chikwawa,Chikwawa Central,0.3797152245345017
1994,Chikwawa,Chikwawa East,0.4647916666666667
1994,Chikwawa,Chikwawa Nkombezi,0.3671114316624594
1994,Chikwawa,Chikwawa North,0.36415094339622645
1994,Chikwawa,Chikwawa South,0.5044129235618597
1994,Chikwawa,Chikwawa West,0.4528165041502136
1994,Chiradzulu,Chiradzulu Central,0.096156013978131
1994,Chiradzulu,Chiradzulu East,0.15229843906630391
1994,Chiradzulu,Chiradzulu North,0.1453105968331303
1994,Chiradzulu,Chiradzulu South,0.1644692737430168
1994,Chiradzulu,Chiradzulu West,0.12328632014991614
1994,Chitipa,Chitipa Central,0.13351151066026845
1994,Chitipa,Chitipa East,0.10266814213697284
1994,Chitipa,Chitipa North,0.2159738439981317
1994,Chitipa,Chitipa South,0.08288313903895361
1994,Chitipa,Chitipa Wenya,0.07112794612794615
1994,Dedza,Dedza Central,0.16120954405858734
1994,Dedza,Dedza Central-East,0.19858295611100174
1994,Dedza,Dedza East,0.3908616836354606
1994,Dedza,Dedza North,0.4115791845010137
1994,Dedza,Dedza North-West,0.07760259420776028
1994,Dedza,Dedza South,0.40368129097327277
1994,Dedza,Dedza South-West,0.1726691751776862
1994,Dedza,Dedza West,0.14380187597003846
1994,Dowa,Dowa Central,0.19121639606068674
1994,Dowa,Dowa East,0.22491349480968859
1994,Dowa,Dowa Ngala,0.195277522232444
1994,Dowa,Dowa North,0.1561256799545344
1994,Dowa,Dowa North-East,0.2637345188948873
1994,Dowa,Dowa South-East,0.2627268234131187
1994,Dowa,Dowa West,0.19278888779430603
1994,Karonga,Karonga Central,0.14962680090262104
1994,Karonga,Karonga North,0.10183026346467705
1994,Karonga,Karonga North-West,0.12821556496255293
1994,Karonga,Karonga Nyungwe,0.11715789473684213
1994,Karonga,Karonga South,0.14244358669833734
1994,Kasungu,Kasungu Central,0.40361754457880716
1994,Kasungu,Kasungu East,0.28753937696884846
1994,Kasungu,Kasungu North,0.2993624227933851
1994,Kasungu,Kasungu North-East,0.16098577734183428
1994,Kasungu,Kasungu North-North-East,0.5118867665246667
1994,Kasungu,Kasungu North-West,0.47502223539875477
1994,Kasungu,Kasungu South,0.14820865254619198
1994,Kasungu,Kasungu South-East,0.28523423601502274
1994,Kasungu,Kasungu West,0.27190701942192996
1994,Lilongwe,Lilongwe Central,0.1746043484691614
1994,Lilongwe,Lilongwe City Central,0.4744636786370209
1994,Lilongwe,Lilongwe City North,0.1504845216997851
1994,Lilongwe,Lilongwe City South,0.43693759071117566
1994,Lilongwe,Lilongwe City West,0.42260581942219233
1994,Lilongwe,Lilongwe East,0.029024878467257653
1994,Lilongwe,Lilongwe Kumachenga,0.2841014742993757
1994,Lilongwe,Lilongwe Mpenu,0.06002506265664165
1994,Lilongwe,Lilongwe Msinja,0.09326622228268266
1994,Lilongwe,Lilongwe Msozi,0.11586010721709639
1994,Lilongwe,Lilongwe North,0.2196058848384742
